state/action,"(0, 0.0)","(0, 0.25)","(0, 0.5)","(0, 0.75)","(0, 1.0)","(1, 0.0)","(1, 0.25)","(1, 0.5)","(1, 0.75)","(1, 1.0)","(2, 0.0)","(2, 0.25)","(2, 0.5)","(2, 0.75)","(2, 1.0)","(3, 0.0)","(3, 0.25)","(3, 0.5)","(3, 0.75)","(3, 1.0)"
"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 1)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(0, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 1)",31.81782336974375,18.651650784501335,36.888057448657904,39.147985214635504,0.0,31.01690728411311,9.109885442005623,50.09069352026118,96.27378865008747,54.567004334160885,45.23990433407539,43.87787297787546,30.142631738660583,25.954072655660656,26.73717134654795,44.37943929928895,43.524380819222245,32.95884817021113,57.88512946541078,51.98148934934222
"(1, 2)",7.616979321800916,0.0,0.0,0.0,102.43422267333052,4.205692138629542,7.657834509299865,0.0,9.556850843097482,0.0,0.0,9.953622944626979,0.0,0.0,0.0,14.253552816727078,0.0,8.761698271141574,0.0,0.0
"(1, 3)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(1, 4)",485.86526713081713,320.75137808860967,1010.1487362083365,318.48899666621276,646.0540391805234,0.0,479.661310537046,633.5035962811793,556.615128684579,779.3266056800553,665.782488801481,476.25542237759726,612.6922943248393,626.6821366185554,1615.9878848226883,727.6103148610991,569.9852112689764,0.0,525.2875379430928,5076.355457950096
"(2, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 1)",80.55586116695228,81.29474306129387,81.2170398277773,80.85623253329102,80.94481417475949,80.615919039134,80.54796416131981,80.9233305848843,80.68422558324086,81.08989816139632,79.3478452493435,79.5838667201873,80.67807383995375,80.99222336772436,81.26950392722439,81.32700071631723,80.59616146963481,80.96135315730818,80.97435009164494,80.82244304197215
"(2, 2)",43.02828085674298,20.848835733016323,87.21354424400823,40.020314960155,42.303408290899725,15.151414936706377,32.257370432517604,45.22621500136371,27.052945782303297,36.194072997368984,17.644350804212415,17.59023898728466,33.24145442751364,30.65740406060198,35.452226863854314,8.801213596192827,60.611637474782235,0.0,30.027253952659255,43.13903606553809
"(2, 3)",93.8311803032253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(2, 4)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.009161766083134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259.85211741609663,19.108715955310505,0.0,0.0
"(3, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(3, 1)",85.99987133686322,50.73386236214033,63.936696999090955,66.05107852300148,41.80285393246197,63.101828288973664,89.55215201318038,76.4438269578264,82.60007908686933,90.27530863384087,48.71908755710722,43.353998476974084,43.58171297413635,45.56081066242686,43.0075949397564,37.38971092265913,79.6597797311707,34.941578136163166,86.82030698341686,40.385538587756905
"(3, 2)",78.23218800199294,0.0,53.540776774353304,130.72369143705896,0.0,0.0,20.22845265431063,0.0,20.0461702112379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.495465756390965,0.0,0.0,0.0
"(3, 3)",0.0,0.0,0.0,13.24082449088712,0.0,134.49828304718756,0.0,0.0,22.92897462253058,0.0,0.0,0.0,0.0,8.418898314327187,0.0,0.0,0.0,25.474026792879734,20.106806801312775,0.0
"(3, 4)",69.06906834621134,68.07438230531292,27.56059510182538,35.98865120228162,0.0,0.0,0.0,38.88850122555883,93.75909154322436,41.63225991917993,154.86642880125376,0.0,0.0,0.0,82.3384268837506,35.927009743965435,18.00905030558452,40.61563117574158,15.635261096627111,37.53832420809584
"(4, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 1)",0.0,0.0,0.0,120.19160788080698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 2)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.527605032467875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 3)",0.0,0.0,0.0,14.086921473545488,0.0,107.12843033301696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(4, 4)",0.0,0.0,0.0,0.0,37.90844269364149,25.78935854710078,0.0,48.862116877721405,0.0,281.3508665592821,11.299261489090027,0.0,0.0,0.0,0.0,0.0,0.0,29.753713560683394,56.104968168423994,33.13039354762625
