Function,RewardCombination,Value mean,Value min,Value max,Value std
f4,comb_0,456.23,403.02,613.33,55.78
f4,comb_1,468.25,400.98,565.21,48.57
f4,comb_2,460.2,404.7,624.44,62.26
f4,comb_3,463.3,403.7,642.58,67.19
f4,comb_4,441.79,402.03,493.72,34.86
f4,comb_5,467.56,404.61,612.13,53.65
f4,comb_6,496.6,405.27,1252.55,177.85
f9,comb_0,1784.43,1068.59,3243.38,581.48
f9,comb_1,1625.05,1073.24,2677.79,394.24
f9,comb_2,1441.56,985.5,2147.92,311.2
f9,comb_3,1711.92,988.24,3699.28,625.74
f9,comb_4,1653.42,1056.06,2729.47,528.32
f9,comb_5,1934.02,934.27,3622.58,646.21
f9,comb_6,1999.23,1145.1,4956.1,854.89
